@relation classification-training-weka.filters.unsupervised.attribute.Remove-R1

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute Classe {C,N,V}

@data
9,1.001286,1.001274,1.001129,1.001116,1.000975,1.000963,1.001588,1.001576,1.001435,1.001423,0.751005,N
9,1.001631,1.001467,1.001448,1.001285,1.001295,1.001131,1.001908,1.001744,1.001448,1.001285,1.164985,C
9,1.000834,1.00056,1.001138,1.000863,1.000525,1.000251,1.001291,1.001017,1.000831,1.000557,0.271919,C
9,1.000565,1.000266,1.000501,1.000202,1.000348,1.000049,1.000654,1.000356,1.000501,1.000202,-0.418457,C
9,1.000844,1.000629,1.000329,1.000113,1.000329,1.000113,1.001248,1.001032,1.000942,1.000726,0.821026,N
9,1.001046,1.000903,1.00051,1.000367,1.000357,1.000214,1.001428,1.001285,1.001275,1.001132,1.814823,N
9,1.000664,1.000526,1.000889,1.00075,1.000276,1.000138,1.001042,1.000903,1.000429,1.000291,1.180955,N
9,1.000622,1.000572,1.000391,1.000342,1.000238,1.000189,1.00085,1.000801,1.000544,1.000495,0.348081,N
9,1.000418,1.000246,1.000437,1.000265,1.000131,0.999959,1.00059,1.000418,1.000131,0.999959,-0.576925,N
9,1.000008,0.999835,1.000088,0.999915,0.999782,0.999609,1.000241,1.000068,0.999782,0.999609,-0.333696,N
9,0.999853,0.999803,0.999626,0.999575,0.999626,0.999575,0.999931,0.999881,0.999778,0.999728,-0.766102,N
9,1.000098,1.00014,0.999901,0.999943,0.999901,0.999943,1.00036,1.000402,0.999901,0.999943,-0.544985,N
9,1.000413,1.000404,1.000082,1.000073,0.999929,0.99992,1.000694,1.000684,0.999929,0.99992,0.249807,N
9,0.999739,0.999729,0.999879,0.999869,0.999573,0.999563,1.000032,1.000022,0.999573,0.999563,-0.100295,C
9,0.999817,0.999844,0.999743,0.999771,0.99959,0.999618,1.000049,1.000077,0.999896,0.999924,-0.662914,C
9,1.000338,1.000322,0.999939,0.999923,0.999939,0.999923,1.000551,1.000535,1.000245,1.000229,-0.113807,C
10,1.000188,1.000247,1.000167,1.000226,0.999861,0.99992,1.000473,1.000532,1.000167,1.000226,0.048345,C
10,0.999863,0.999819,0.999987,0.999944,0.999681,0.999638,1.00014,1.000097,1.00014,1.000097,-0.742762,C
10,1.00042,1.000476,1.000115,1.000171,0.999962,1.000018,1.000879,1.000935,1.000115,1.000171,1.172356,C
10,1.000447,1.000364,1.000276,1.000194,1.000123,1.000041,1.000735,1.000653,1.000276,1.000194,-0.278417,C
10,1.000419,1.000381,1.00031,1.000272,1.000157,1.00012,1.000616,1.000578,1.000463,1.000425,-0.828752,C
10,1.000296,1.000256,1.000387,1.000347,1.000081,1.000041,1.00054,1.0005,1.000234,1.000194,-0.413544,C
10,1.000044,0.999955,1.000168,1.000079,0.999862,0.999773,1.000168,1.000079,1.000168,1.000079,-0.809097,C
10,1.00011,1.000014,1.000083,0.999987,0.999931,0.999834,1.000236,1.00014,1.000083,0.999987,-0.979849,C
10,0.999852,0.999848,0.999986,0.999982,0.99968,0.999676,1.000139,1.000135,0.99968,0.999676,-0.741534,C
10,0.999667,0.999683,0.999844,0.999859,0.999538,0.999553,0.999844,0.999859,0.999538,0.999553,-0.644488,C
10,0.999533,0.999589,0.999585,0.999641,0.999279,0.999335,0.999891,0.999947,0.999585,0.999641,-0.530244,C
10,1.000025,1.000099,0.999682,0.999756,0.999682,0.999756,1.000294,1.000367,0.999988,1.000061,-0.611321,C
10,1.000378,1.000386,0.999899,0.999907,0.999899,0.999907,1.000663,1.000671,1.000357,1.000366,-0.065899,C
10,1.001023,1.000992,1.000602,1.000571,1.000602,1.000571,1.001366,1.001335,1.001213,1.001182,1.644072,N
10,1.000758,1.000531,1.000841,1.000613,1.000535,1.000308,1.000841,1.000613,1.000688,1.00046,-0.67397,N
10,1.000505,1.000338,1.00056,1.000393,1.000407,1.00024,1.000713,1.000545,1.000713,1.000545,-0.730478,N
10,1.000755,1.00062,1.000359,1.000224,1.000359,1.000224,1.00097,1.000835,1.000664,1.00053,0.012721,N
10,1.000382,1.000195,1.000468,1.000281,1.000162,0.999976,1.00062,1.000434,1.000315,1.000128,-0.490935,N
10,1.000242,1.000179,1.000262,1.000199,0.999956,0.999894,1.000567,1.000505,1.000262,1.000199,-0.659229,N
10,1.000526,1.000497,1.000181,1.000153,1.000029,1,1.000792,1.000763,1.000334,1.000305,0.352995,N
10,1.000155,1.000053,1.00028,1.000178,0.999975,0.999873,1.000433,1.000331,0.999975,0.999873,-0.094153,N
10,0.999819,0.999806,0.999867,0.999855,0.999715,0.999702,1.00002,1.000007,0.999867,0.999855,-0.626062,N
10,0.999748,0.999722,0.999721,0.999695,0.999569,0.999542,0.999874,0.999847,0.999721,0.999695,-0.592894,N
10,0.999942,0.999935,0.999722,0.999716,0.999722,0.999716,1.000028,1.000021,1.000028,1.000021,-0.747676,N
10,0.999912,0.999961,1.000027,1.000076,0.999722,0.999771,1.000027,1.000076,0.999722,0.999771,-0.847179,N
10,0.999876,0.999926,0.999928,0.999978,0.999622,0.999673,1.00008,1.000131,0.999622,0.999673,-0.268589,C
10,0.999678,0.999717,0.99968,0.999719,0.999527,0.999566,0.999833,0.999872,0.99968,0.999719,-0.38529,C
10,0.999431,0.999454,0.999747,0.999771,0.999136,0.99916,0.9999,0.999923,0.999289,0.999313,0.641675,C
10,0.99938,0.999424,0.99952,0.999564,0.999214,0.999259,0.99952,0.999564,0.99952,0.999564,-0.368092,C
10,0.999508,0.999633,0.99932,0.999445,0.99932,0.999445,0.999778,0.999903,0.999778,0.999903,-0.181371,C
10,1.000031,1.00016,1.000093,1.000222,0.999787,0.999916,1.000245,1.000375,1.000093,1.000222,-0.519188,C
10,1.000063,1.000122,1.000359,1.000417,0.999748,0.999806,1.000359,1.000417,0.9999,0.999959,-0.006934,C
10,0.999998,1.000006,0.999947,0.999955,0.999794,0.999802,1.000252,1.00026,0.999947,0.999955,-0.769788,C
10,1.000451,1.000444,1.000107,1.0001,1.000107,1.0001,1.000718,1.000711,1.000565,1.000558,0.337025,C
10,1.001077,1.000956,1.000686,1.000565,1.000533,1.000412,1.001297,1.001176,1.001144,1.001023,0.769432,C
10,1.001234,1.001117,1.00108,1.000963,1.000927,1.00081,1.001538,1.001421,1.00108,1.000963,1.093736,C
10,1.001072,1.00088,1.001004,1.000812,1.000851,1.000659,1.001309,1.001117,1.001004,1.000812,0.248579,C
10,1.000499,1.000309,1.000577,1.000388,1.000272,1.000082,1.00073,1.00054,1.00073,1.00054,-0.253848,C
10,1.000406,1.000247,1.000509,1.00035,1.000051,0.999892,1.000662,1.000502,1.000509,1.00035,0.037289,C
10,1.000063,0.999972,1.000173,1.000083,0.999868,0.999777,1.000173,1.000083,1.00002,0.99993,-0.670285,C
10,0.999893,0.999882,0.99978,0.999769,0.999628,0.999617,1.000238,1.000227,1.000085,1.000074,-0.244021,C
10,1.000197,1.000207,1.000086,1.000096,0.999934,0.999943,1.000391,1.000401,1.000086,1.000096,-0.435655,C
10,1.000806,1.000775,1.000228,1.000196,1.000075,1.000044,1.001143,1.001111,1.00099,1.000959,2.614529,V
10,1.00061,1.000526,1.000575,1.000492,1.00027,1.000187,1.00088,1.000796,1.000575,1.000492,0.760833,V
10,1.001153,1.001024,1.000439,1.00031,1.000439,1.00031,1.001506,1.001377,1.001201,1.001072,2.507656,V
10,1.000853,1.000621,1.00097,1.000738,1.000665,1.000433,1.001122,1.000891,1.000665,1.000433,-0.187513,V
10,1.000273,1.000076,1.000371,1.000174,1.000067,0.99987,1.000524,1.000327,1.000371,1.000174,0.257178,V
10,1.000233,1.000163,1.000167,1.000096,1.000014,0.999944,1.000471,1.000401,1.000319,1.000249,-0.536386,V
10,1.000368,1.00029,1.000385,1.000307,1.00008,1.000002,1.000689,1.000611,1.000232,1.000154,0.001665,V
10,0.999786,0.999673,1.000125,1.000012,0.999516,0.999403,1.000125,1.000012,0.999821,0.999708,0.416873,V
10,0.999897,0.999953,0.999588,0.999644,0.999588,0.999644,1.000197,1.000253,1.000045,1.000101,-0.326325,V
11,0.998819,0.998925,0.999505,0.99961,0.997981,0.998087,0.999809,0.999915,0.998134,0.998239,2.226346,C
11,0.998827,0.999152,0.998528,0.998852,0.998375,0.9987,0.999137,0.999462,0.998528,0.998852,0.157675,C
11,0.998999,0.999244,0.998937,0.999182,0.998785,0.999029,0.999242,0.999487,0.998785,0.999029,-0.256305,C
11,0.999535,0.999875,0.999257,0.999597,0.998952,0.999292,1.00002,1.00036,0.999562,0.999902,0.811198,C
11,1.000087,1.000192,1.000067,1.000172,0.999915,1.000019,1.000372,1.000477,1.00022,1.000324,-0.27596,C
11,0.999567,0.999658,1.000458,1.000549,0.999237,0.999328,1.000458,1.000549,0.99939,0.999481,0.233837,C
11,0.999476,0.999458,0.999668,0.999649,0.999363,0.999344,0.999668,0.999649,0.999668,0.999649,-0.36932,C
11,1.000317,1.000392,0.999704,0.999778,0.999551,0.999625,1.000772,1.000847,1.000619,1.000694,0.407046,C
11,1.000267,1.000227,1.000655,1.000614,1.000044,1.000004,1.000655,1.000614,1.000349,1.000309,-0.053615,C
11,1.00074,1.000712,1.000809,1.000781,1.000504,1.000475,1.000962,1.000933,1.000809,1.000781,0.077827,C
11,1.000761,1.000607,1.000709,1.000555,1.000557,1.000402,1.001015,1.00086,1.000862,1.000708,-0.137148,C
11,1.001179,1.00106,1.000671,1.000553,1.000518,1.0004,1.001586,1.001468,1.001128,1.00101,1.673554,C
11,1.001219,1.00109,1.000596,1.000467,1.000596,1.000467,1.001663,1.001534,1.00151,1.001382,1.504031,C
11,1.001215,1.001002,1.001273,1.00106,1.000663,1.000451,1.001577,1.001365,1.000968,1.000755,1.334508,C
11,1.000579,1.000335,1.000655,1.000411,1.00035,1.000107,1.000807,1.000564,1.000503,1.000259,-0.289473,C
11,1.001009,1.000798,1.000378,1.000168,1.000225,1.000015,1.001596,1.001386,1.001596,1.001386,1.090051,V
11,1.001692,1.001533,1.001306,1.001148,1.001154,1.000995,1.002219,1.002061,1.00161,1.001452,3.571474,V
11,1.000937,1.000677,1.001299,1.001038,1.000537,1.000277,1.001451,1.001191,1.00069,1.00043,1.109706,V
11,1.00014,0.999979,1.000362,1.0002,0.999753,0.999591,1.000514,1.000352,0.999753,0.999591,1.619503,V
11,0.999239,0.999148,0.999594,0.999503,0.998985,0.998894,0.999594,0.999503,0.999137,0.999046,1.883615,C
11,0.999165,0.999075,0.999131,0.999041,0.998827,0.998737,0.999588,0.999497,0.998979,0.998889,1.802539,C
11,0.999022,0.99908,0.998981,0.999039,0.998677,0.998734,0.99959,0.999647,0.999438,0.999495,0.65396,C
11,0.999674,0.999955,0.999435,0.999716,0.999435,0.999716,0.999891,1.000173,0.999739,1.00002,-0.293158,V
11,1.000003,1.000183,1.000025,1.000205,0.99972,0.9999,1.000329,1.000509,1.000177,1.000357,0.812427,V
11,1.000899,1.001,1.000339,1.000439,1.000186,1.000287,1.001252,1.001352,1.0011,1.0012,1.228863,V
11,1.000286,1.000091,1.000862,1.000667,0.999796,0.999602,1.000862,1.000667,1.000253,1.000059,0.780488,V
11,0.999663,0.999491,0.999897,0.999726,0.999289,0.999117,1.000202,1.00003,0.999593,0.999421,0.619564,V
11,0.999857,0.999809,0.999472,0.999425,0.999472,0.999425,1.000233,1.000185,1.000081,1.000033,0.251035,V
11,0.999944,0.999874,1.000204,1.000134,0.999292,0.999222,1.000509,1.000439,1.000052,0.999982,1.753402,V
11,0.999774,0.999835,0.999995,1.000055,0.999538,0.999599,0.999995,1.000055,0.999843,0.999903,-0.202254,V
11,1.00017,1.00034,0.99992,1.00009,0.999767,0.999938,1.000528,1.000699,1.000224,1.000394,-0.049929,V
11,0.999854,0.999844,1.00036,1.000351,0.999447,0.999438,1.00036,1.000351,0.999599,0.99959,0.445127,V
11,0.999502,0.999449,0.999606,0.999553,0.999149,0.999097,0.99991,0.999857,0.999453,0.999401,0.348081,V
11,0.99948,0.999523,0.999608,0.999651,0.999304,0.999346,0.99976,0.999803,0.999456,0.999499,0.070457,V
11,0.999275,0.999352,0.999546,0.999624,0.998938,0.999015,0.999698,0.999776,0.998938,0.999015,0.845594,N
11,0.998995,0.999092,0.99908,0.999178,0.998624,0.998721,0.999385,0.999482,0.998776,0.998873,0.963523,N
11,0.99921,0.999428,0.998995,0.999212,0.998843,0.99906,0.999452,0.999669,0.999452,0.999669,0.209269,N
11,0.999589,0.999742,0.999574,0.999727,0.99927,0.999423,0.999879,1.000032,0.999574,0.999727,0.649046,N
11,0.999435,0.999594,0.999601,0.99976,0.999144,0.999303,0.999905,1.000064,0.999296,0.999455,-0.09661,C
11,0.999763,0.999836,1.000112,1.000185,0.999503,0.999575,1.000112,1.000185,0.999655,0.999728,-0.446711,C
11,0.999706,0.999765,0.99992,0.999979,0.999463,0.999522,0.99992,0.999979,0.999768,0.999827,-0.623605,C
